Title,Celebrities,Movie Reference,Release Date,Imdb Rating
Hacksaw Ridge,"Mel Gibson (dir.), Andrew Garfield, Sam Worthington",https://www.imdb.com/title/tt2119532/,2016,8.1
Before Sunrise,"Richard Linklater (dir.), Ethan Hawke, Julie Delpy",https://www.imdb.com/title/tt0112471/,1995,8.1
Andhadhun,"Sriram Raghavan (dir.), Ayushmann Khurrana, Tabu",https://www.imdb.com/title/tt8108198/,2018,8.1
Catch Me If You Can,"Steven Spielberg (dir.), Leonardo DiCaprio, Tom Hanks",https://www.imdb.com/title/tt0264464/,2002,8.1
The Big Lebowski,"Joel Coen (dir.), Jeff Bridges, John Goodman",https://www.imdb.com/title/tt0118715/,1998,8.1
Persona,"Ingmar Bergman (dir.), Bibi Andersson, Liv Ullmann",https://www.imdb.com/title/tt0060827/,1966,8.1
To Be or Not to Be,"Ernst Lubitsch (dir.), Carole Lombard, Jack Benny",https://www.imdb.com/title/tt0035446/,1942,8.1
Prisoners,"Denis Villeneuve (dir.), Hugh Jackman, Jake Gyllenhaal",https://www.imdb.com/title/tt1392214/,2013,8.1
Sherlock Jr.,"Buster Keaton (dir.), Buster Keaton, Kathryn McGuire",https://www.imdb.com/title/tt0015324/,1924,8.1
Eskiya,"Yavuz Turgul (dir.), Sener Sen, Ugur Yücel",https://www.imdb.com/title/tt0116231/,1996,8.1
The General,"Clyde Bruckman (dir.), Buster Keaton, Marion Mack",https://www.imdb.com/title/tt0017925/,1926,8.1
How to Train Your Dragon,"Dean DeBlois (dir.), Jay Baruchel, Gerard Butler",https://www.imdb.com/title/tt0892769/,2010,8.1
Ford v Ferrari,"James Mangold (dir.), Matt Damon, Christian Bale",https://www.imdb.com/title/tt1950186/,2019,8.1
Mr. Smith Goes to Washington,"Frank Capra (dir.), James Stewart, Jean Arthur",https://www.imdb.com/title/tt0031679/,1939,8.1
12 Years a Slave,"Steve McQueen (dir.), Chiwetel Ejiofor, Michael Kenneth Williams",https://www.imdb.com/title/tt2024544/,2013,8.1
Barry Lyndon,"Stanley Kubrick (dir.), Ryan O'Neal, Marisa Berenson",https://www.imdb.com/title/tt0072684/,1975,8.1
Mad Max: Fury Road,"George Miller (dir.), Tom Hardy, Charlize Theron",https://www.imdb.com/title/tt1392190/,2015,8.1
Million Dollar Baby,"Clint Eastwood (dir.), Hilary Swank, Clint Eastwood",https://www.imdb.com/title/tt0405159/,2004,8.1
Stand by Me,"Rob Reiner (dir.), Wil Wheaton, River Phoenix",https://www.imdb.com/title/tt0092005/,1986,8.1
